carrier,airline,total_flights,delayed_flights,cancelled_flights,total_delay_minutes,delay_rate,cancellation_rate,avg_delay_minutes
9E,Endeavor Air Inc.,1354202.0,185658.0,31230.0,14549083.0,0.1370977151119257,0.023061552117040147,78.36496676685087
AA,American Airlines Network,5078840.0,1086532.0,119543.0,87874824.0,0.2139331028345055,0.02353746131006293,80.87642517661698
AS,Alaska Airlines Network,1292316.0,248598.0,24678.0,12490439.0,0.19236626335973556,0.019095948668901415,50.243521669522686
AX,Trans States Airlines,18705.0,3152.0,1618.0,238734.0,0.16851109329056402,0.08650093557872227,75.74048223350253
B6,JetBlue Airways,1366470.0,357799.0,34823.0,27724519.0,0.26184182601886613,0.02548391109940211,77.4862953781313
C5,"Commutair Aka Champlain Enterprises, Inc.",174482.0,34824.0,5752.0,2960058.0,0.19958505748443967,0.03296615123623067,85.00051688490696
C5,CommuteAir LLC dba CommuteAir,238644.0,42240.0,4377.0,3830267.0,0.1770000502841052,0.018341127369638457,90.67866950757576
CP,Compass Airlines,15878.0,1763.0,1193.0,116061.0,0.1110341352815216,0.07513540748205064,65.83153715258082
DL,Delta Air Lines Network,5242763.0,807861.0,76994.0,56798983.0,0.1540906960699921,0.014685767790762238,70.30786608092234
EM,Empire Airlines Inc.,5202.0,474.0,343.0,29953.0,0.09111880046136102,0.0659361783929258,63.19198312236287
EV,ExpressJet Airlines LLC,52212.0,5344.0,4022.0,321565.0,0.10235194974335401,0.07703209990040603,60.17309131736527
F9,Frontier Airlines,968030.0,255075.0,23192.0,19546783.0,0.26349906511161847,0.02395793518795905,76.63151230030383
G4,Allegiant Air,694895.0,171495.0,25650.0,13258817.0,0.2467926809086265,0.0369120514610121,77.31314032479081
G7,GoJet Airlines LLC d/b/a United Express,327667.0,66183.0,12416.0,5716955.0,0.20198250052644912,0.03789212828878099,86.38101929498512
HA,Hawaiian Airlines Network,414402.0,70143.0,5623.0,3335378.0,0.16926317923176046,0.013568949956805227,47.551117003835024
MQ,Envoy Air,1521850.0,267010.0,35091.0,16501804.0,0.17545093143213852,0.02305812005125341,61.80219467435676
NK,Spirit Airlines,1278352.0,286328.0,28009.0,19869662.0,0.2239821269884977,0.021910240684881784,69.39475706183119
OH,PSA Airlines Inc.,1300460.0,242814.0,40414.0,19230487.0,0.18671393199329467,0.031076695938360273,79.19842760302124
OO,SkyWest Airlines Inc.,4343633.0,712991.0,79832.0,58184585.0,0.16414623426979214,0.01837908497333914,81.60633864943597
PT,Piedmont Airlines,617695.0,91565.0,12225.0,7170940.0,0.14823658925521496,0.019791320959373155,78.31529514552504
QX,Horizon Air,545702.0,77198.0,10821.0,3849829.0,0.14146548849005502,0.019829504015011858,49.869543252415866
UA,United Air Lines Network,3669461.0,687142.0,69861.0,48616446.0,0.18725965475583473,0.01903849093913248,70.7516728711096
WN,Southwest Airlines,7582834.0,1487141.0,181898.0,77838171.0,0.19611941920395462,0.023988128976580522,52.34081435452321
YV,Mesa Airlines Inc.,670438.0,121699.0,21569.0,10622768.0,0.18152163212705724,0.03217150579173615,87.2872250388253
YX,Republic Airline,1812974.0,273708.0,56017.0,18751292.0,0.15097182860868386,0.030897850713799534,68.5083811945577
ZW,Air Wisconsin Airlines Corp,322146.0,59535.0,9893.0,5305547.0,0.1848075096384869,0.030709678220434213,89.1164357100865
