airport,airport_full_name,total_flights,delayed_flights,cancelled_flights,total_delay_minutes,delay_rate,cancellation_rate,avg_delay_minutes
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",28774.0,5379.0,827.0,398985.0,0.18693959824841871,0.028741224716758183,74.17456776352482
ABI,"Abilene, TX: Abilene Regional",10907.0,1767.0,244.0,106374.0,0.16200605115980563,0.02237095443293298,60.20033955857385
ABQ,"Albuquerque, NM: Albuquerque International Sunport",130549.0,25479.0,2371.0,1445607.0,0.19516809780235775,0.018161763016185495,56.73719533733663
ABR,"Aberdeen, SD: Aberdeen Regional",4377.0,498.0,68.0,47223.0,0.113776559287183,0.01553575508339045,94.82530120481928
ABY,"Albany, GA: Southwest Georgia Regional",5377.0,746.0,55.0,64200.0,0.1387390738329924,0.010228752092244746,86.05898123324397
ACK,"Nantucket, MA: Nantucket Memorial",10296.0,1896.0,387.0,146573.0,0.18414918414918416,0.037587412587412584,77.30643459915612
ACT,"Waco, TX: Waco Regional",7709.0,1169.0,301.0,72729.0,0.15164093916201843,0.03904527176028019,62.214713430282295
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",10285.0,1713.0,274.0,143033.0,0.1665532328633933,0.026640738940204182,83.49854057209573
ACY,"Atlantic City, NJ: Atlantic City International",17136.0,3384.0,431.0,234296.0,0.19747899159663865,0.02515172735760971,69.23640661938535
ADK,"Adak Island, AK: Adak",627.0,118.0,47.0,5819.0,0.18819776714513556,0.07496012759170653,49.313559322033896
ADQ,"Kodiak, AK: Kodiak Airport",4827.0,654.0,217.0,35306.0,0.13548788067122436,0.04495545887714937,53.984709480122326
AEX,"Alexandria, LA: Alexandria International",13566.0,1981.0,363.0,138697.0,0.14602683178534573,0.026758071649712518,70.01362948006057
AGS,"Augusta, GA: Augusta Regional at Bush Field",28478.0,4587.0,551.0,347305.0,0.16107170447362876,0.019348268839103868,75.71506431218661
AKN,"King Salmon, AK: King Salmon Airport",2719.0,421.0,96.0,19736.0,0.15483633688856197,0.035307098197866864,46.87885985748218
ALB,"Albany, NY: Albany International",84593.0,17641.0,2294.0,1226928.0,0.20853971368789379,0.027118083056517677,69.5497987642424
ALO,"Waterloo, IA: Waterloo Regional",3749.0,602.0,110.0,44424.0,0.16057615364097091,0.029341157642037877,73.79401993355482
ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field",991.0,121.0,37.0,15733.0,0.12209889001009082,0.03733602421796166,130.02479338842974
