airport,airport_full_name,total_flights,delayed_flights,cancelled_flights,total_delay_min,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,delay_rate,cancellation_rate,avg_delay_severity,carrier_share,weather_share,nas_share,late_aircraft_share,cluster
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",28774.0,5379.0,827.0,398985.0,133672.0,45688.0,51256.0,717.0,167652.0,0.18693959824841871,0.028741224716758183,74.17456776352482,0.3350301389776558,0.11451057057282855,0.12846598243041718,0.4201962479792473,1
ABI,"Abilene, TX: Abilene Regional",10907.0,1767.0,244.0,106374.0,29941.0,13843.0,19591.0,154.0,42845.0,0.16200605115980563,0.02237095443293298,60.20033955857385,0.28146915599676614,0.13013518340947977,0.18417094402767595,0.40277699437832554,1
ABQ,"Albuquerque, NM: Albuquerque International Sunport",130549.0,25479.0,2371.0,1445607.0,563730.0,64581.0,154669.0,1835.0,660792.0,0.19516809780235775,0.018161763016185495,56.73719533733663,0.3899607569692178,0.04467396740607925,0.10699242601896643,0.45710348663225897,1
ABR,"Aberdeen, SD: Aberdeen Regional",4377.0,498.0,68.0,47223.0,31925.0,13707.0,1536.0,0.0,55.0,0.113776559287183,0.01553575508339045,94.82530120481928,0.6760476886263049,0.2902611015818563,0.03252652309256083,0.0011646866992778943,0
ABY,"Albany, GA: Southwest Georgia Regional",5377.0,746.0,55.0,64200.0,41423.0,10960.0,6374.0,0.0,5443.0,0.1387390738329924,0.010228752092244746,86.05898123324397,0.6452180685358255,0.1707165109034268,0.09928348909657321,0.08478193146417445,0
ACK,"Nantucket, MA: Nantucket Memorial",10296.0,1896.0,387.0,146573.0,50194.0,21345.0,24615.0,14.0,50405.0,0.18414918414918416,0.037587412587412584,77.30643459915612,0.34245051953634026,0.1456270936666371,0.16793679599926317,0.3438900752526045,1
ACT,"Waco, TX: Waco Regional",7709.0,1169.0,301.0,72729.0,27997.0,11735.0,8663.0,251.0,24083.0,0.15164093916201843,0.03904527176028019,62.214713430282295,0.38494960744682316,0.16135241788007534,0.11911342105624992,0.33113338558209243,1
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",10285.0,1713.0,274.0,143033.0,52902.0,38519.0,18054.0,5.0,33553.0,0.1665532328633933,0.026640738940204182,83.49854057209573,0.36985870393545545,0.26930148986597496,0.1262226199548356,0.23458222927576153,0
ACY,"Atlantic City, NJ: Atlantic City International",17136.0,3384.0,431.0,234296.0,66646.0,11382.0,76477.0,2873.0,76918.0,0.19747899159663865,0.02515172735760971,69.23640661938535,0.2844521460033462,0.048579574555263426,0.32641188923413117,0.32829412367261923,1
ADK,"Adak Island, AK: Adak",627.0,118.0,47.0,5819.0,2068.0,371.0,1494.0,102.0,1784.0,0.18819776714513556,0.07496012759170653,49.313559322033896,0.3553875236294896,0.06375665921979722,0.2567451452139543,0.30658188692215155,1
ADQ,"Kodiak, AK: Kodiak Airport",4827.0,654.0,217.0,35306.0,10776.0,3989.0,4706.0,0.0,15835.0,0.13548788067122436,0.04495545887714937,53.984709480122326,0.3052172435280122,0.11298362884495552,0.13329179176343964,0.4485073358635926,1
AEX,"Alexandria, LA: Alexandria International",13566.0,1981.0,363.0,138697.0,57938.0,23867.0,19563.0,618.0,36711.0,0.14602683178534573,0.026758071649712518,70.01362948006057,0.41773073678594347,0.17208014592961635,0.1410484725697023,0.264684888642148,1
AGS,"Augusta, GA: Augusta Regional at Bush Field",28478.0,4587.0,551.0,347305.0,118568.0,57942.0,49084.0,632.0,121079.0,0.16107170447362876,0.019348268839103868,75.71506431218661,0.34139445156274745,0.16683318696822677,0.1413282273505996,0.34862440794114685,1
