antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"carrier=OO, delay_rate=High","dominant=carrier, high_delay=Yes",0.03978771998551292,0.13670330320120036,0.02760674979488961,0.6938510124465912,5.075598000915742,1.0,0.022167637046025576,2.8198580818373418,0.8362514178026863,0.1854242168495259,0.6453722240700753,0.44789874223302795
"carrier=WN, delay_rate=High","dominant=late_aircraft, high_delay=Yes",0.027821099391690626,0.19352072908428375,0.022432794010037473,0.8063230605738576,4.166597885349435,1.0,0.01704883457183118,4.164043862450969,0.7817450447188103,0.11277916093790642,0.7598488313205719,0.4611211972336861
"carrier=WN, delay_rate=High","high_delay=Yes, severity=Medium",0.027821099391690626,0.24763291522843014,0.02568499478908739,0.9232199787460149,3.7281795834547533,1.0,0.018795574841863134,9.798995526229032,0.7527139059684897,0.10283499053030304,0.8979487236907809,0.5134710167436907
"carrier=AA, delay_rate=High","dominant=late_aircraft, high_delay=Yes",0.036239864590185744,0.19352072908428375,0.025936301212923063,0.7156842749337141,3.698230563310938,1.0,0.0189231361955146,2.836562313701404,0.757035273380595,0.12724833188279663,0.6474605915866135,0.42485382488569445
"delay_rate=High, volume=MediumVolume","dominant=late_aircraft, high_delay=Yes",0.047770394624999074,0.19352072908428375,0.029957203994293864,0.6271081541079994,3.240521865928254,1.0,0.020712642397820093,2.1627699286009436,0.7260935027251565,0.14175293788472298,0.537629968506691,0.3909545812171652
"delay_rate=High, volume=MediumVolume","high_delay=Yes, severity=Medium",0.047770394624999074,0.24763291522843014,0.034192456372465686,0.7157666718242303,2.8904342993497774,1.0,0.022362934289864633,2.647005154533836,0.6868419402948059,0.13089983022071308,0.6222145626399016,0.4269219294709009
"carrier=MQ, delay_rate=High","high_delay=Yes, volume=SmallVolume",0.023356714685903928,0.33369797402674195,0.021582786988240336,0.9240506329113923,2.769122694276054,1.0,0.013788698617633545,8.772976675314556,0.6541536760024587,0.06433560270562055,0.8860136032489628,0.49436412080592984
"carrier=G4, delay_rate=High","high_delay=Yes, volume=SmallVolume",0.03232983228991892,0.33369797402674195,0.029720680301272055,0.9192958390489254,2.754873899759591,1.0,0.01893228076550177,8.256104990388184,0.6582893634828899,0.08837362637362638,0.8788775092898883,0.504180225104014
"delay_rate=High, season=Summer","dominant=late_aircraft, high_delay=Yes",0.13653330179684092,0.19352072908428375,0.07254625146903387,0.5313447379818104,2.745673502244789,1.0,0.04612422736102467,1.7208369056665256,0.7363232853387345,0.2817245041476506,0.41888740489751786,0.45311030344969366
"delay_rate=High, severity=Short","high_delay=Yes, volume=SmallVolume",0.039218584849179186,0.33369797402674195,0.035729860377107465,0.9110441010177159,2.73014573634992,1.0,0.022642698068740495,7.490251164860409,0.6595872661324884,0.10596462000482257,0.8664931284692592,0.50905827661469
"carrier=OO, delay_rate=High","high_delay=Yes, volume=SmallVolume",0.03978771998551292,0.33369797402674195,0.03603290635879166,0.9056288315065949,2.7139176800456672,1.0,0.022755824808482688,7.060440562626083,0.6576972602334161,0.10677910415069544,0.8583657788589815,0.5068047141119923
"delay_rate=High, severity=Long","dominant=late_aircraft, high_delay=Yes",0.10311693879210307,0.19352072908428375,0.053240005026128474,0.5163070747616658,2.6679678048174336,1.0,0.03328473985014123,1.6673373308454589,0.6970617579473506,0.2187367142423322,0.40024134198870925,0.3957098737951633
"delay_rate=High, dominant=late_aircraft","high_delay=Yes, severity=Medium",0.19785206921274567,0.24763291522843014,0.130686731759958,0.6605274955170353,2.6673655031187136,1.0,0.08169204707682867,2.2162828353874087,0.7792805094134094,0.41514440009391884,0.548794050997016,0.5941356398278845
"delay_rate=High, severity=Medium","dominant=late_aircraft, high_delay=Yes",0.2540042722092052,0.19352072908428375,0.130686731759958,0.5145060381201805,2.6586611189135123,1.0,0.08153163981150975,1.661152010610081,0.8362927651550839,0.41247142257266833,0.3980081331432539,0.594908660340359
"delay_rate=High, dominant=carrier","high_delay=Yes, volume=SmallVolume",0.14176638850494852,0.33369797402674195,0.12520233862801475,0.8831595411887382,2.646583467473984,1.0,0.07789518199882542,5.702665264688568,0.7249242639368892,0.35745336372077324,0.8246433985539897,0.6291780606247144
"delay_rate=High, season=Spring","high_delay=Yes, severity=Medium",0.08845246982475073,0.24763291522843014,0.05763786744325279,0.6516253029163532,2.6314163539820963,1.0,0.03573412448139501,2.159649053360848,0.6801362513100135,0.20699723932894457,0.5369618047692521,0.4421902892816551
"delay_rate=High, season=Spring","dominant=late_aircraft, high_delay=Yes",0.08845246982475073,0.19352072908428375,0.04486558802007495,0.507228210913345,2.6210536375792217,1.0,0.027748201570283577,1.6366181846783747,0.6784879795559864,0.18922036223074282,0.38898393690003014,0.3695334393501871
"delay_rate=High, severity=Medium, volume=MediumVolume",high_delay=Yes,0.03422941319950035,0.3844470889107345,0.034192456372465686,0.9989203195854026,2.598329779048851,1.0,0.021033058112795107,570.1251062508225,0.636939445936828,0.08893075473874429,0.9982459990113818,0.5439298116105161
"delay_rate=High, volume=MediumVolume",high_delay=Yes,0.047770394624999074,0.3844470889107345,0.047718655067150555,0.9989169116509361,2.5983209145404054,1.0,0.029353465917452665,568.3312091957051,0.6459955308865483,0.12410611303344868,0.9982404626319659,0.5615198635504599
"delay_rate=High, dominant=late_aircraft, volume=MediumVolume",high_delay=Yes,0.029994160821328525,0.3844470889107345,0.029957203994293864,0.9987678659438146,2.5979332260614942,1.0,0.01842603618221371,499.5827426400184,0.6340978698530146,0.07791533699873121,0.9979983295765671,0.5383453464646879
